"trait","n_snps","n_genes_in_rds"
"14(15)-Epoxy-5Z,8Z,11Z-eicosatrienoic acid, methyl ester",6106358,5
"8(9)-Epoxy-5Z,11Z,14Z-eicosatrienoic acid, methyl ester",6106358,7
"9,12,13,TriHODE",6106358,1984
"AEG(o-15:2_15:0)",6106358,444
"AEG(o-16:2_16:0)",6106358,13
"AEG(o-16:2_18:2)",6106358,14
"AEG(o-16:3_16:0)",6106358,23
"AEG(o-18:3_16:1)",6106358,18
"AEG(o-18:4_16:1)",6106358,2
"AEG(o-18:4_18:2)",6106358,49
"alpha-Carotene",6106358,10
"alpha-Tocopherol",6106358,59
"Antheraxanthin",6106358,24
"Apocarotenal",6106358,49
"beta-Carotene",6106358,10
"Caryophyllene oxide",6106358,69
"Cer(24:1)",6106358,18
"Cer(d18:2_20:1)",6106358,29
"CL(18:1)",6106358,12
"Cycloartenol acetate",6106358,42
"DG(12:0_12:0)",6106358,235
"DG(16:0_16:0)",6106358,24
"DG(16:0_18:0)",6106358,158
"DG(16:0_18:1)",6106358,41
"DG(16:0_18:2)",6106358,19
"DG(16:0_18:3)",6106358,18
"DG(16:0_2:0)",6106358,27
"DG(16:1_18:3)",6106358,23
"DG(18:0_18:0)",6106358,29
"DG(18:0_18:2)",6106358,34
"DG(18:1_18:1)",6106358,132
"DG(18:1_18:2)",6106358,47
"DG(18:1_18:3)",6106358,35
"DG(18:1_2:0)",6106358,86
"DG(18:2_18:2)",6106358,31
"DG(18:2_18:3)",6106358,5
"DG(18:3_18:3)",6106358,1
"DGDG(16:0_18:1)",6106358,66
"DGDG(16:0_18:2)",6106358,100
"DGDG(16:0_18:3)",6106358,5
"DGDG(18:0_18:2)",6106358,27
"DGDG(18:0_18:3)",6106358,4
"DGDG(18:2_18:3)",6106358,98
"DGDG(18:2_18:4)",6106358,9
"FA(22:1)",6106358,368
"GalCer(d18:2_18:1)",6106358,3
"GalCer(d18:2_20:1)",6106358,8
"GalCer(d18:2_22:1)",6106358,19
"gamma-sitosterol",6106358,100
"gibberellic acid",6106358,931
"LPC(16:0)",6106358,56
"LPC(18:3)",6106358,91
"LPE(16:0)",6106358,9
"Lutein",6106358,15
"MG(12:0)",6106358,40
"MG(16:0)",6106358,17
"MG(16:1)",6106358,24
"MG(18:0)",6106358,65
"MG(18:1)",6106358,132
"MG(18:2)",6106358,95
"MG(18:3)",6106358,11
"MG(20:4)",6106358,205
"MGDG(16:0_18:1)",6106358,120
"MGDG(16:0_18:3)",6106358,8
"MGDG(18:2_18:2)",6106358,38
"MGDG(18:2_18:3)",6106358,12
"MGDG(18:3_18:3)",6106358,33
"Oxo fatty acid (18:3)",6106358,2062
"PA(16:0_18:2)",6106358,1480
"Panaxcerol B",6106358,380
"PC(14:0_14:0)",6106358,184
"PC(14:0_18:0)",6106358,78
"PC(14:0_18:2)",6106358,2111
"PC(14:0_18:3)",6106358,471
"PC(14:0_20:4)",6106358,43
"PC(14:0_22:5)",6106358,167
"PC(14:0_22:6)",6106358,9
"PC(16:0_16:0)",6106358,130
"PC(16:0_18:0)",6106358,12
"PC(16:0_18:1)",6106358,4
"PC(16:0_18:2)",6106358,11
"PC(16:0_18:3)",6106358,25
"PC(16:0_20:3)",6106358,21
"PC(16:0_20:4)",6106358,105
"PC(16:0_20:5)",6106358,9
"PC(16:0_22:5)",6106358,18
"PC(16:0_22:6)",6106358,12
"PC(16:1_16:1)",6106358,3835
"PC(16:1_18:2)",6106358,43
"PC(18:0_18:1)",6106358,21
"PC(18:0_18:2)",6106358,48
"PC(18:0_18:3)",6106358,41
"PC(18:0_20:2)",6106358,33
"PC(18:0_20:3)",6106358,31
"PC(18:0_20:4)",6106358,21
"PC(18:1_14:0)",6106358,36
"PC(18:1_16:0)",6106358,11
"PC(18:1_18:1)",6106358,51
"PC(18:1_18:2)",6106358,51
"PC(18:1_20:1)",6106358,27
"PC(18:1_20:4)",6106358,18
"PC(18:1_22:1)",6106358,196
"PC(18:1_24:0)",6106358,69
"PC(18:1_24:1)",6106358,51
"PC(18:2_0:0)",6106358,669
"PC(18:2_20:0)",6106358,42
"PC(18:3_0:0)",6106358,91
"PC(22:0_0:0)",6106358,119
"PC(22:1_22:1)",6106358,958
"PE(12:0_12:0)",6106358,96
"PE(14:0_22:6)",6106358,16
"PE(16:0_0:0)",6106358,9
"PE(16:0_18:0)",6106358,43
"PE(16:0_18:1)",6106358,19
"PE(16:0_18:2)",6106358,11
"PE(16:0_18:3)",6106358,10
"PE(16:0_20:4)",6106358,11
"PE(16:0_20:5)",6106358,2
"PE(18:0_18:1)",6106358,117
"PE(18:0_18:2)",6106358,28
"PE(18:1_18:2)",6106358,54
"PE(18:2_18:2)",6106358,18
"PE(18:2_18:3)",6106358,2
"PE(18:3_18:3)",6106358,9
"PG(16:0_16:0)",6106358,13
"PG(16:0_18:1)",6106358,6
"PG(18:0_16:0)",6106358,61
"Phytosphingosine",6106358,58
"PS(18:0_18:2)",6106358,1
"PS(18:0_20:4)",6106358,18
"SM(d18:1_17:0)",6106358,39
"SPB 18:0",6106358,355
"SPHINGANINE",6106358,355
"SQDG(16:0_14:0)",6106358,97
"SQDG(16:0_16:0)",6106358,7
"SQDG(16:0_18:0)",6106358,9
"SQDG(16:0_18:1)",6106358,76
"SQDG(16:0_18:2)",6106358,556
"SQDG(16:0_18:3)",6106358,3
"SQDG(16:1_18:3)",6106358,23
"SQDG(18:0_18:3)",6106358,9
"SQDG(18:1_18:3)",6106358,71
"SQDG(18:2_18:3)",6106358,124
"SQDG(18:3_18:3)",6106358,15
"TG(10:0_10:0_10:0)",6106358,1836
"TG(10:0_12:0_14:0)",6106358,117
"TG(10:0_12:0_16:0)",6106358,97
"TG(10:0_14:0_16:0)",6106358,47
"TG(10:0_16:0_16:0)",6106358,63
"TG(10:0_16:1_18:1)",6106358,1324
"TG(12:0_12:0_12:0)",6106358,78
"TG(12:0_12:0_14:0)",6106358,97
