"trait","n_snps","n_genes_in_rds"
"AEG_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part01.parta1_SAP_bialleles_MAF_0.05",6085245,9
"Cer_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part01.parta1_SAP_bialleles_MAF_0.05",6085245,114
"DG_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part01.parta1_SAP_bialleles_MAF_0.05",6085245,8
"DGDG_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part01.parta1_SAP_bialleles_MAF_0.05",6085245,3
"FA_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part01.parta1_SAP_bialleles_MAF_0.05",6085245,1543
"GalCer_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part01.parta1_SAP_bialleles_MAF_0.05",6085245,8
"LPC_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part01.parta1_SAP_bialleles_MAF_0.05",6085245,54
"LPE_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part01.parta1_SAP_bialleles_MAF_0.05",6085245,8
"MG_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part01.parta1_SAP_bialleles_MAF_0.05",6085245,0
"MGDG_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part01.parta1_SAP_bialleles_MAF_0.05",6085245,0
"PA_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part01.parta1_SAP_bialleles_MAF_0.05",6085245,1
"PC_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part01.parta1_SAP_bialleles_MAF_0.05",6085245,13
"PE_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part01.parta1_SAP_bialleles_MAF_0.05",6085245,18
"PG_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part01.parta1_SAP_bialleles_MAF_0.05",6085245,0
"PS_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part01.parta1_SAP_bialleles_MAF_0.05",6085245,52
"SM_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part01.parta1_SAP_bialleles_MAF_0.05",6085245,178
"SQDG_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part01.parta1_SAP_bialleles_MAF_0.05",6085245,0
"Sum_AEG_over_Cer_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part05.parta1_SAP_bialleles_MAF_0.05_5",6085245,0
"Sum_AEG_over_DG_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part05.parta1_SAP_bialleles_MAF_0.05_5",6085245,15
"Sum_AEG_over_DGDG_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part05.parta1_SAP_bialleles_MAF_0.05_5",6085245,12
"Sum_AEG_over_FA_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part05.parta1_SAP_bialleles_MAF_0.05_5",6085245,104
"Sum_AEG_over_GalCer_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part05.parta1_SAP_bialleles_MAF_0.05_5",6085245,0
"Sum_AEG_over_LPC_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part05.parta1_SAP_bialleles_MAF_0.05_5",6085245,5
"Sum_AEG_over_LPE_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part05.parta1_SAP_bialleles_MAF_0.05_5",6085245,36
"Sum_AEG_over_MG_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part05.parta1_SAP_bialleles_MAF_0.05_5",6085245,13
"Sum_AEG_over_MGDG_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part05.parta1_SAP_bialleles_MAF_0.05_5",6085245,18
"Sum_AEG_over_PA_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part05.parta1_SAP_bialleles_MAF_0.05_5",6085245,4
"Sum_AEG_over_PC_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part05.parta1_SAP_bialleles_MAF_0.05_5",6085245,4
"Sum_AEG_over_PE_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part05.parta1_SAP_bialleles_MAF_0.05_5",6085245,6
"Sum_AEG_over_PG_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part05.parta1_SAP_bialleles_MAF_0.05_5",6085245,0
"Sum_AEG_over_PS_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part05.parta1_SAP_bialleles_MAF_0.05_5",6085245,25
"Sum_AEG_over_SM_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part05.parta1_SAP_bialleles_MAF_0.05_5",6085245,9
"Sum_AEG_over_SQDG_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part05.parta1_SAP_bialleles_MAF_0.05_5",6085245,8
"Sum_AEG_over_TG_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part05.parta1_SAP_bialleles_MAF_0.05_5",6085245,2
"Sum_Cer_over_AEG_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part04.parta1_SAP_bialleles_MAF_0.05_4",6085245,992
"Sum_Cer_over_DG_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part05.parta1_SAP_bialleles_MAF_0.05_5",6085245,1036
"Sum_Cer_over_DGDG_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part04.parta1_SAP_bialleles_MAF_0.05_4",6085245,958
"Sum_Cer_over_FA_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part04.parta1_SAP_bialleles_MAF_0.05_4",6085245,862
"Sum_Cer_over_GalCer_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part04.parta1_SAP_bialleles_MAF_0.05_4",6085245,971
"Sum_Cer_over_LPC_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part04.parta1_SAP_bialleles_MAF_0.05_4",6085245,962
"Sum_Cer_over_LPE_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part04.parta1_SAP_bialleles_MAF_0.05_4",6085245,856
"Sum_Cer_over_MG_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part05.parta1_SAP_bialleles_MAF_0.05_5",6085245,1037
"Sum_Cer_over_MGDG_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part04.parta1_SAP_bialleles_MAF_0.05_4",6085245,974
"Sum_Cer_over_PA_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part05.parta1_SAP_bialleles_MAF_0.05_5",6085245,638
"Sum_Cer_over_PC_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part05.parta1_SAP_bialleles_MAF_0.05_5",6085245,878
"Sum_Cer_over_PE_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part05.parta1_SAP_bialleles_MAF_0.05_5",6085245,802
"Sum_Cer_over_PG_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part05.parta1_SAP_bialleles_MAF_0.05_5",6085245,889
"Sum_Cer_over_PS_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part05.parta1_SAP_bialleles_MAF_0.05_5",6085245,868
"Sum_Cer_over_SM_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part04.parta1_SAP_bialleles_MAF_0.05_4",6085245,980
"Sum_Cer_over_SQDG_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part04.parta1_SAP_bialleles_MAF_0.05_4",6085245,1061
"Sum_Cer_over_TG_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part04.parta1_SAP_bialleles_MAF_0.05_4",6085245,1037
"Sum_DG_over_AEG_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part07.parta1_SAP_bialleles_MAF_0.05_7",6085245,1704
"Sum_DG_over_Cer_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part07.parta1_SAP_bialleles_MAF_0.05_7",6085245,1077
"Sum_DG_over_DGDG_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part07.parta1_SAP_bialleles_MAF_0.05_7",6085245,1798
"Sum_DG_over_FA_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part07.parta1_SAP_bialleles_MAF_0.05_7",6085245,841
"Sum_DG_over_GalCer_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part07.parta1_SAP_bialleles_MAF_0.05_7",6085245,1551
"Sum_DG_over_LPC_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part07.parta1_SAP_bialleles_MAF_0.05_7",6085245,1001
"Sum_DG_over_LPE_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part07.parta1_SAP_bialleles_MAF_0.05_7",6085245,1000
"Sum_DG_over_MG_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part07.parta1_SAP_bialleles_MAF_0.05_7",6085245,1369
"Sum_DG_over_MGDG_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part07.parta1_SAP_bialleles_MAF_0.05_7",6085245,1478
"Sum_DG_over_PA_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part07.parta1_SAP_bialleles_MAF_0.05_7",6085245,568
"Sum_DG_over_PC_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part07.parta1_SAP_bialleles_MAF_0.05_7",6085245,2054
"Sum_DG_over_PE_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part07.parta1_SAP_bialleles_MAF_0.05_7",6085245,2360
"Sum_DG_over_PG_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part07.parta1_SAP_bialleles_MAF_0.05_7",6085245,1824
"Sum_DG_over_PS_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part07.parta1_SAP_bialleles_MAF_0.05_7",6085245,1272
"Sum_DG_over_SM_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part07.parta1_SAP_bialleles_MAF_0.05_7",6085245,1077
"Sum_DG_over_SQDG_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part07.parta1_SAP_bialleles_MAF_0.05_7",6085245,1257
"Sum_DG_over_TG_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part07.parta1_SAP_bialleles_MAF_0.05_7",6085245,2596
"Sum_DGDG_over_AEG_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part01.parta1_SAP_bialleles_MAF_0.05",6085245,5
"Sum_DGDG_over_Cer_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part01.parta1_SAP_bialleles_MAF_0.05",6085245,5
"Sum_DGDG_over_DG_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part01.parta1_SAP_bialleles_MAF_0.05",6085245,19
"Sum_DGDG_over_FA_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part01.parta1_SAP_bialleles_MAF_0.05",6085245,161
"Sum_DGDG_over_GalCer_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part01.parta1_SAP_bialleles_MAF_0.05",6085245,14
"Sum_DGDG_over_LPC_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part01.parta1_SAP_bialleles_MAF_0.05",6085245,6
"Sum_DGDG_over_LPE_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part01.parta1_SAP_bialleles_MAF_0.05",6085245,12
"Sum_DGDG_over_MG_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part01.parta1_SAP_bialleles_MAF_0.05",6085245,15
"Sum_DGDG_over_MGDG_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part01.parta1_SAP_bialleles_MAF_0.05",6085245,15
"Sum_DGDG_over_PA_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part02.parta1_SAP_bialleles_MAF_0.05_2",6085245,12
"Sum_DGDG_over_PC_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part01.parta1_SAP_bialleles_MAF_0.05",6085245,8
"Sum_DGDG_over_PE_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part01.parta1_SAP_bialleles_MAF_0.05",6085245,60
"Sum_DGDG_over_PG_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part01.parta1_SAP_bialleles_MAF_0.05",6085245,1
"Sum_DGDG_over_PS_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part02.parta1_SAP_bialleles_MAF_0.05_2",6085245,34
"Sum_DGDG_over_SM_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part01.parta1_SAP_bialleles_MAF_0.05",6085245,12
"Sum_DGDG_over_SQDG_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part01.parta1_SAP_bialleles_MAF_0.05",6085245,15
"Sum_DGDG_over_TG_log10safe_mod_sub_Final_lowinput_BLUPs_class_sums_and_ratios_wide.part01.parta1_SAP_bialleles_MAF_0.05",6085245,31
