Original_Lipid,Mapped_Name,Class,Subclass
AEG(o-15:2/15:0),AEG(o-15:2/15:0),Ether lipid,Acyl‑ether glycerol
AEG(o-16:2/16:0),AEG(o-16:2/16:0),Ether lipid,Acyl‑ether glycerol
AEG(o-16:2/18:2),AEG(o-16:2/18:2),Ether lipid,Acyl‑ether glycerol
AEG(o-16:3/16:0),AEG(o-16:3/16:0),Ether lipid,Acyl‑ether glycerol
AEG(o-18:3/16:1),AEG(o-18:3/16:1),Ether lipid,Acyl‑ether glycerol
AEG(o-18:4/16:1),AEG(o-18:4/16:1),Ether lipid,Acyl‑ether glycerol
AEG(o-18:4/18:2),AEG(o-18:4/18:2),Ether lipid,Acyl‑ether glycerol
.gamma.-Linolenoyl ethanolamide,.gamma.-Linolenoyl ethanolamide,Fatty acyls,Fatty amide
"14(15)-Epoxy-5Z,8Z,11Z-eicosatrienoic acid, methyl ester","14(15)-Epoxy-5Z,8Z,11Z-eicosatrienoic acid, methyl ester",Fatty acyls,Fatty acid and conjugates
"8(9)-Epoxy-5Z,11Z,14Z-eicosatrienoic acid, methyl ester","8(9)-Epoxy-5Z,11Z,14Z-eicosatrienoic acid, methyl ester",Fatty acyls,Fatty acid and conjugates
"9,12,13,TriHODE","9,12,13,TriHODE",Fatty acyls,Fatty acid and conjugates
FA(22:1),FA(22:1),Fatty acyls,Fatty acid and conjugates
Oxo fatty acid (18:3),Oxo fatty acid (18:3),Fatty acyls,Fatty acid and conjugates
trans-EKODE-(E)-Ib,trans-EKODE-(E)-Ib,Fatty acyls,Fatty acid and conjugates
DG(12:0/12:0),,Glycerolipid,Diacylglycerol
DG(16:0/16:0),,Glycerolipid,Diacylglycerol
DG(16:0/18:0),,Glycerolipid,Diacylglycerol
DG(16:0/18:1),,Glycerolipid,Diacylglycerol
DG(16:0/18:2),,Glycerolipid,Diacylglycerol
DG(16:0/18:3),,Glycerolipid,Diacylglycerol
DG(16:0/2:0),,Glycerolipid,Diacylglycerol
DG(16:1/18:3),,Glycerolipid,Diacylglycerol
DG(18:0/18:0),,Glycerolipid,Diacylglycerol
DG(18:1/18:1),,Glycerolipid,Diacylglycerol
DG(18:1/18:2),,Glycerolipid,Diacylglycerol
DG(18:1/18:3),,Glycerolipid,Diacylglycerol
DG(18:1/2:0),,Glycerolipid,Diacylglycerol
DG(18:2/18:2),,Glycerolipid,Diacylglycerol
DG(18:2/18:3),,Glycerolipid,Diacylglycerol
DG(18:3/18:3),,Glycerolipid,Diacylglycerol
DGDG(16:0/18:1),,Glycerolipid,Digalactosyldiacylglycerol
DGDG(16:0/18:2),,Glycerolipid,Digalactosyldiacylglycerol
DGDG(16:0/18:3),,Glycerolipid,Digalactosyldiacylglycerol
DGDG(18:0/18:2),,Glycerolipid,Digalactosyldiacylglycerol
DGDG(18:0/18:3),,Glycerolipid,Digalactosyldiacylglycerol
DGDG(18:2/18:3),,Glycerolipid,Digalactosyldiacylglycerol
DGDG(18:2/18:4),,Glycerolipid,Digalactosyldiacylglycerol
MG(12:0),,Glycerolipid,Monoacylglycerol
MG(16:0),,Glycerolipid,Monoacylglycerol
MG(16:1),,Glycerolipid,Monoacylglycerol
MG(18:0),,Glycerolipid,Monoacylglycerol
MG(18:1),,Glycerolipid,Monoacylglycerol
MG(18:2),,Glycerolipid,Monoacylglycerol
MG(18:3),,Glycerolipid,Monoacylglycerol
MG(20:4),,Glycerolipid,Monoacylglycerol
MGDG(16:0/18:1),,Glycerolipid,Monogalactosyldiacylglycerol
MGDG(16:0/18:3),,Glycerolipid,Monogalactosyldiacylglycerol
MGDG(18:2/18:2),,Glycerolipid,Monogalactosyldiacylglycerol
MGDG(18:2/18:3),,Glycerolipid,Monogalactosyldiacylglycerol
MGDG(18:3/18:3),,Glycerolipid,Monogalactosyldiacylglycerol
Panaxcerol B,MGMG(18:3/0:0),Glycerolipid,Monogalactosyldiacylglycerol
SQDG(16:0/14:0),,Glycerolipid,Sulfoquinovosyldiacylglycerol
SQDG(16:0/16:0),,Glycerolipid,Sulfoquinovosyldiacylglycerol
SQDG(16:0/18:0),,Glycerolipid,Sulfoquinovosyldiacylglycerol
SQDG(16:0/18:1),,Glycerolipid,Sulfoquinovosyldiacylglycerol
SQDG(16:0/18:2),,Glycerolipid,Sulfoquinovosyldiacylglycerol
SQDG(16:0/18:3),,Glycerolipid,Sulfoquinovosyldiacylglycerol
SQDG(16:1/18:3),,Glycerolipid,Sulfoquinovosyldiacylglycerol
SQDG(18:0/18:3),,Glycerolipid,Sulfoquinovosyldiacylglycerol
SQDG(18:1/18:3),,Glycerolipid,Sulfoquinovosyldiacylglycerol
SQDG(18:2/18:3),,Glycerolipid,Sulfoquinovosyldiacylglycerol
SQDG(18:3/18:3),,Glycerolipid,Sulfoquinovosyldiacylglycerol
TG(10:0/10:0/10:0),,Glycerolipid,Triacylglycerol
TG(10:0/12:0/14:0),,Glycerolipid,Triacylglycerol
TG(10:0/12:0/16:0),,Glycerolipid,Triacylglycerol
TG(10:0/14:0/16:0),,Glycerolipid,Triacylglycerol
TG(10:0/16:0/16:0),,Glycerolipid,Triacylglycerol
TG(10:0/16:1/18:1),,Glycerolipid,Triacylglycerol
TG(12:0/12:0/12:0),,Glycerolipid,Triacylglycerol
TG(12:0/12:0/14:0),,Glycerolipid,Triacylglycerol
TG(12:0/12:0/16:1),,Glycerolipid,Triacylglycerol
TG(12:0/12:0/18:1),,Glycerolipid,Triacylglycerol
TG(12:0/12:0/18:2),,Glycerolipid,Triacylglycerol
TG(12:0/14:0/16:0),,Glycerolipid,Triacylglycerol
TG(12:0/14:0/18:1),,Glycerolipid,Triacylglycerol
TG(12:0/14:0/18:3),,Glycerolipid,Triacylglycerol
TG(12:0/16:0/16:0),,Glycerolipid,Triacylglycerol
TG(12:0/16:0/18:1),,Glycerolipid,Triacylglycerol
TG(12:0/16:0/18:2),,Glycerolipid,Triacylglycerol
TG(12:0/16:0/18:3),,Glycerolipid,Triacylglycerol
TG(12:0/18:1/18:1),,Glycerolipid,Triacylglycerol
TG(12:0/18:1/18:2),,Glycerolipid,Triacylglycerol
TG(12:0/18:1/18:3),,Glycerolipid,Triacylglycerol
TG(12:0/18:2/18:3),,Glycerolipid,Triacylglycerol
TG(14:0/14:0/16:0),,Glycerolipid,Triacylglycerol
TG(14:0/14:0/16:1),,Glycerolipid,Triacylglycerol
TG(14:0/14:0/18:0),,Glycerolipid,Triacylglycerol
TG(14:0/16:0/16:0),,Glycerolipid,Triacylglycerol
TG(14:0/16:0/18:1),,Glycerolipid,Triacylglycerol
TG(14:0/18:1/18:2),,Glycerolipid,Triacylglycerol
TG(14:0/18:1/18:3),,Glycerolipid,Triacylglycerol
TG(14:0/18:2/18:3),,Glycerolipid,Triacylglycerol
TG(14:0/18:3/18:3),,Glycerolipid,Triacylglycerol
TG(16:0/16:0/16:0),,Glycerolipid,Triacylglycerol
