"Lipid","Module","ModuleNum","Class"
"AEG(o-15:2/15:0)","M14",14,"AEG"
"AEG(o-16:2/16:0)","M19",19,"AEG"
"AEG(o-16:2/18:2)","M4",4,"AEG"
"AEG(o-16:3/16:0)","M5",5,"AEG"
"AEG(o-18:3/16:1)","M4",4,"AEG"
"AEG(o-18:4/16:1)","M19",19,"AEG"
"AEG(o-18:4/18:2)","M4",4,"AEG"
".gamma.-Linolenoyl ethanolamide","M11",11,"Other"
"14(15)-Epoxy-5Z,8Z,11Z-eicosatrienoic acid, methyl ester","M3",3,"Other"
"8(9)-Epoxy-5Z,11Z,14Z-eicosatrienoic acid, methyl ester","M3",3,"Other"
"9,12,13,TriHODE","M11",11,"Other"
"FA(22:1)","M22",22,"FA"
"Oxo fatty acid (18:3)","M11",11,"Other"
"trans-EKODE-(E)-Ib","M11",11,"Other"
"DG(12:0/12:0)","M8",8,"DG"
"DG(16:0/16:0)","M13",13,"DG"
"DG(16:0/18:0)","M13",13,"DG"
"DG(16:0/18:1)","M4",4,"DG"
"DG(16:0/18:2)","M4",4,"DG"
"DG(16:0/18:3)","M3",3,"DG"
"DG(16:0/2:0)","M13",13,"DG"
"DG(16:1/18:3)","M16",16,"DG"
"DG(18:0/18:0)","M13",13,"DG"
"DG(18:1/18:1)","M8",8,"DG"
"DG(18:1/18:2)","M4",4,"DG"
"DG(18:1/18:3)","M4",4,"DG"
"DG(18:1/2:0)","M8",8,"DG"
"DG(18:2/18:2)","M4",4,"DG"
"DG(18:2/18:3)","M3",3,"DG"
"DG(18:3/18:3)","M3",3,"DG"
"DGDG(16:0/18:1)","M8",8,"DGDG"
"DGDG(16:0/18:2)","M8",8,"DGDG"
"DGDG(16:0/18:3)","M3",3,"DGDG"
"DGDG(18:0/18:2)","M8",8,"DGDG"
"DGDG(18:0/18:3)","M3",3,"DGDG"
"DGDG(18:2/18:3)","M4",4,"DGDG"
"DGDG(18:2/18:4)","M3",3,"DGDG"
"MG(12:0)","M8",8,"MG"
"MG(16:0)","M3",3,"MG"
"MG(16:1)","M23",23,"MG"
"MG(18:0)","M13",13,"MG"
"MG(18:1)","M8",8,"MG"
"MG(18:2)","M4",4,"MG"
"MG(18:3)","M3",3,"MG"
"MG(20:4)","M22",22,"MG"
"MGDG(16:0/18:1)","M26",26,"MGDG"
"MGDG(16:0/18:3)","M3",3,"MGDG"
"MGDG(18:2/18:2)","M4",4,"MGDG"
"MGDG(18:2/18:3)","M4",4,"MGDG"
"MGDG(18:3/18:3)","M3",3,"MGDG"
"Panaxcerol B","M11",11,"Other"
"SQDG(16:0/14:0)","M25",25,"SQDG"
"SQDG(16:0/16:0)","M25",25,"SQDG"
"SQDG(16:0/18:0)","M25",25,"SQDG"
"SQDG(16:0/18:1)","M26",26,"SQDG"
"SQDG(16:0/18:2)","M26",26,"SQDG"
"SQDG(16:0/18:3)","M3",3,"SQDG"
"SQDG(16:1/18:3)","M8",8,"SQDG"
"SQDG(18:0/18:3)","M3",3,"SQDG"
"SQDG(18:1/18:3)","M4",4,"SQDG"
"SQDG(18:2/18:3)","M4",4,"SQDG"
"SQDG(18:3/18:3)","M3",3,"SQDG"
"TG(10:0/10:0/10:0)","M1",1,"TG"
"TG(10:0/12:0/14:0)","M1",1,"TG"
"TG(10:0/12:0/16:0)","M1",1,"TG"
"TG(10:0/14:0/16:0)","M1",1,"TG"
"TG(10:0/16:0/16:0)","M1",1,"TG"
"TG(10:0/16:1/18:1)","M1",1,"TG"
"TG(12:0/12:0/12:0)","M1",1,"TG"
"TG(12:0/12:0/14:0)","M1",1,"TG"
"TG(12:0/12:0/16:1)","M1",1,"TG"
"TG(12:0/12:0/18:1)","M1",1,"TG"
"TG(12:0/12:0/18:2)","M1",1,"TG"
"TG(12:0/14:0/16:0)","M1",1,"TG"
"TG(12:0/14:0/18:1)","M1",1,"TG"
"TG(12:0/14:0/18:3)","M20",20,"TG"
"TG(12:0/16:0/16:0)","M1",1,"TG"
"TG(12:0/16:0/18:1)","M20",20,"TG"
"TG(12:0/16:0/18:2)","M20",20,"TG"
"TG(12:0/16:0/18:3)","M15",15,"TG"
"TG(12:0/18:1/18:1)","M1",1,"TG"
"TG(12:0/18:1/18:2)","M20",20,"TG"
"TG(12:0/18:1/18:3)","M15",15,"TG"
"TG(12:0/18:2/18:3)","M15",15,"TG"
"TG(14:0/14:0/16:0)","M1",1,"TG"
"TG(14:0/14:0/16:1)","M1",1,"TG"
"TG(14:0/14:0/18:0)","M1",1,"TG"
"TG(14:0/16:0/16:0)","M1",1,"TG"
"TG(14:0/16:0/18:1)","M1",1,"TG"
"TG(14:0/18:1/18:2)","M6",6,"TG"
"TG(14:0/18:1/18:3)","M4",4,"TG"
"TG(14:0/18:2/18:3)","M15",15,"TG"
"TG(14:0/18:3/18:3)","M15",15,"TG"
"TG(16:0/16:0/16:0)","M3",3,"TG"
"TG(16:0/16:0/18:1)","M7",7,"TG"
"TG(16:0/16:0/18:2)","M6",6,"TG"
"TG(16:0/16:0/20:1)","M7",7,"TG"
"TG(16:0/18:0/18:2)","M7",7,"TG"
"TG(16:0/18:1/18:1)","M7",7,"TG"
"TG(16:0/18:1/18:2)","M7",7,"TG"
"TG(16:0/18:1/18:3)","M10",10,"TG"
"TG(16:0/18:1/20:0)","M7",7,"TG"
"TG(16:0/18:1/20:1)","M7",7,"TG"
"TG(16:0/18:1/20:2)","M7",7,"TG"
"TG(16:0/18:1/22:0)","M6",6,"TG"
"TG(16:0/18:1/22:1)","M6",6,"TG"
"TG(16:0/18:2/18:3)","M10",10,"TG"
"TG(16:0/18:3/18:3)","M12",12,"TG"
"TG(16:1/16:1/22:5)","M10",10,"TG"
"TG(16:1/18:1/18:1)","M7",7,"TG"
"TG(16:1/20:1/20:2)","M10",10,"TG"
"TG(16:1/20:1/22:1)","M6",6,"TG"
