"key","from","to","rho_ctrl","padj_ctrl","rho_low","padj_low","delta_rho","sig_ctrl","sig_low","edge_state"
"DG/PS||MGDG/PS","DG/PS","MGDG/PS",0.992197864390686,8.24925598760462e-318,0.984708479404325,1.16102727955629e-267,-0.00748938498636076,TRUE,TRUE,"stable_or_weak"
"DG/PA||MGDG/PA","DG/PA","MGDG/PA",0.990869613031455,4.1269549626758e-306,0.994940467409293,0,0.00407085437783805,TRUE,TRUE,"stable_or_weak"
"DG/LPE||MGDG/LPE","DG/LPE","MGDG/LPE",0.98269062096824,1.43846939139742e-257,0.975546441858157,2.60494690079741e-232,-0.00714417911008225,TRUE,TRUE,"stable_or_weak"
"DG/LPC||MGDG/LPC","DG/LPC","MGDG/LPC",0.981850539535058,4.30139775880648e-254,0.971765538958374,1.42561674836782e-221,-0.0100850005766842,TRUE,TRUE,"stable_or_weak"
"DG/PS||DGDG/PS","DG/PS","DGDG/PS",0.98155844225513,5.61513373368309e-253,0.984465735567471,1.70951671451614e-266,0.00290729331234019,TRUE,TRUE,"stable_or_weak"
"DG/PS||MG/PS","DG/PS","MG/PS",0.980074620260125,3.51075738535565e-247,0.992260629095464,2.84018577168299e-319,0.0121860088353393,TRUE,TRUE,"stable_or_weak"
"DG/PC||PC/MGDG","DG/PC","PC/MGDG",-0.97995633293189,8.46511859314828e-247,-0.968204580750548,1.13900180649815e-212,0.0117517521813417,TRUE,TRUE,"stable_or_weak"
"DG/PA||DGDG/PA","DG/PA","DGDG/PA",0.979919317849585,1.02246999068346e-246,0.995035150916928,0,0.0151158330673432,TRUE,TRUE,"stable_or_weak"
"DGDG/PS||MGDG/PS","DGDG/PS","MGDG/PS",0.979889276623366,1.18015048544377e-246,0.985357048020364,6.83062398460266e-271,0.0054677713969975,TRUE,TRUE,"stable_or_weak"
"DGDG/PA||MG/PA","DGDG/PA","DGDG/PA",0.979442145158132,4.95059169676217e-245,0.994973727338321,0,0.0155315821801885,TRUE,TRUE,"stable_or_weak"
