"Module","N_Lipids","Classes","Dominant_Class"
"M1",22,"PA, TG","TG"
"M2",22,"PC, PE","PC"
"M3",22,"DG, DGDG, GalCer, MG, MGDG, Other, SQDG, TG","Other"
"M4",17,"AEG, DG, DGDG, MG, MGDG, PG, SQDG, TG","DG"
"M5",15,"AEG, Other, PC, PE","PC"
"M6",15,"TG","TG"
"M7",13,"TG","TG"
"M8",12,"Cer, DG, DGDG, MG, Other, PE, SQDG","DG"
"M9",10,"PC, PS","PC"
"M10",7,"TG","TG"
"M11",6,"Other, PC","Other"
"M12",6,"Other, TG","TG"
"M13",6,"DG, MG, Other","DG"
"M14",5,"AEG, Cer, Other","Other"
"M15",5,"TG","TG"
"M16",4,"DG, LPC, LPE, PE","DG"
"M17",4,"Other","Other"
"M18",4,"PC","PC"
"M19",4,"AEG, PG, PS","AEG"
"M20",4,"TG","TG"
"M21",4,"Other","Other"
"M22",4,"FA, MG, Other","Other"
"M23",3,"LPC, MG, PC","LPC"
"M24",3,"PC","PC"
"M25",3,"SQDG","SQDG"
"M26",3,"MGDG, SQDG","SQDG"
"M27",3,"Other, PE, PG","Other"
