"Module","Mean_SHAP","SD_SHAP","CI_Lower","CI_Upper","Rank","N_Lipids","Classes","Dominant_Class"
"M1",28.0037040511587,3.00464647375419,22.8580689296098,34.0061919903904,1,22,"PA, TG","TG"
"M22",3.61021342624071,1.13634702828315,2.08946788509833,6.05248917428584,2,4,"FA, MG, Other","Other"
"M7",2.15691310248124,0.666248906838621,0.971673536758553,3.53704254654607,3,13,"TG","TG"
"M4",2.13238087418601,1.18918036051062,0.71698700351195,5.44853033477037,4,17,"AEG, DG, DGDG, MG, MGDG, PG, SQDG, TG","DG"
"M9",1.96027640375337,0.751317408231164,0.908071093733834,3.5202049600166,5,10,"PC, PS","PC"
"M6",1.9209955026272,0.617545156326749,1.09526138334853,3.28902823686785,6,15,"TG","TG"
"M13",1.88938351044324,0.459242026408514,1.0565854518123,2.81577512252865,7,6,"DG, MG, Other","DG"
"M14",1.37619656949152,0.578908922739005,0.671513085786382,2.53678633217747,8,5,"AEG, Cer, Other","Other"
"M5",1.26955863654908,0.483852663422309,0.654842930667083,2.16769375661113,9,15,"AEG, Other, PC, PE","PC"
"M8",1.26898258251036,0.575875864037804,0.585681508023456,2.37766579375235,10,12,"Cer, DG, DGDG, MG, Other, PE, SQDG","DG"
"M2",1.03636764606259,0.402031620314533,0.479383421963484,1.87998747693807,11,22,"PC, PE","PC"
"M27",0.80072774436738,0.43239567057419,0.189292553201047,1.76818552918221,12,3,"Other, PE, PG","Other"
"M26",0.793619497258543,0.540845548593842,0.105211481750642,2.11325937475977,13,3,"MGDG, SQDG","SQDG"
"M17",0.767603881458085,0.531775929373931,0.144706146546678,2.20038143157611,14,4,"Other","Other"
"M21",0.755143756977345,0.541275581895724,0.167529509622638,1.86664663929947,15,4,"Other","Other"
"M3",0.753234885777842,0.343612534229936,0.401801392789905,1.37557682870911,16,22,"DG, DGDG, GalCer, MG, MGDG, Other, SQDG, TG","Other"
"M11",0.73020602258453,0.289967086035257,0.303157092023387,1.27635352237608,17,6,"Other, PC","Other"
"M12",0.46327362027657,0.169519987113137,0.207611022981337,0.80357820118826,18,6,"Other, TG","TG"
"M15",0.408298586959355,0.216068246057897,0.16355573626669,0.878467272108458,19,5,"TG","TG"
"M20",0.321196147290285,0.140253698159713,0.104278860509114,0.595369045353851,20,4,"TG","TG"
"M19",0.318935285989593,0.101744073292602,0.180849136633076,0.556733033519028,21,4,"AEG, PG, PS","AEG"
"M16",0.295923942198955,0.215084258580755,0.0731210231642359,0.920128296109244,22,4,"DG, LPC, LPE, PE","DG"
"M10",0.289809728448065,0.123651375693519,0.135880221049456,0.548829642666923,23,7,"TG","TG"
"M23",0.27832006479376,0.172076386415819,0.0673359936229635,0.651549398152768,24,3,"LPC, MG, PC","LPC"
"M18",0.21753006449338,0.132647045456267,0.0766923861482319,0.534182644899729,25,4,"PC","PC"
"M25",0.186367425361526,0.109218653484354,0.0526296993002698,0.401218698695567,26,3,"SQDG","SQDG"
"M24",0.181035261158989,0.134327452473201,0.0461033934475503,0.499248282500603,27,3,"PC","PC"
