"Module","Mean_SHAP","SD_SHAP","CI_Lower","CI_Upper","Rank","N_Lipids","Classes","Dominant_Class"
"M1",1.28768988707735,0.390414013867273,0.74850609109752,2.06979573591358,1,22,"PA, TG","TG"
"M7",0.893261997473111,0.405987217585336,0.368274789001035,1.87773726754151,2,13,"TG","TG"
"M6",0.710097083419256,0.282274276945918,0.393310457969017,1.39767655070482,3,15,"TG","TG"
"M2",0.543513411823651,0.159520179714515,0.269443606328498,0.818640588807666,4,22,"PC, PE","PC"
"M13",0.495664818147439,0.192525444461209,0.221383954250637,0.879162474573822,5,6,"DG, MG, Other","DG"
"M22",0.488375246353398,0.197221699546448,0.21090844114535,0.979477116962937,6,4,"FA, MG, Other","Other"
"M3",0.454820529708473,0.162592007453355,0.221526605680635,0.847263653799557,7,22,"DG, DGDG, GalCer, MG, MGDG, Other, SQDG, TG","Other"
"M5",0.434440092512202,0.138845686591108,0.263933970039644,0.73227144537559,8,15,"AEG, Other, PC, PE","PC"
"M4",0.353311089214851,0.105975429092212,0.219512793505544,0.586765520020728,9,17,"AEG, DG, DGDG, MG, MGDG, PG, SQDG, TG","DG"
"M9",0.334870935233201,0.105473261562246,0.194767742445488,0.58081553964882,10,10,"PC, PS","PC"
"M14",0.322650909304917,0.155205279750573,0.148490553682324,0.622106489144804,11,5,"AEG, Cer, Other","Other"
"M15",0.28491452514095,0.155725073374183,0.0925848694155873,0.621480213894203,12,5,"TG","TG"
"M8",0.277637678803024,0.126628801392044,0.137985289284043,0.650655601045117,13,12,"Cer, DG, DGDG, MG, Other, PE, SQDG","DG"
"M12",0.273687604505835,0.184263111223363,0.104653913695399,0.613605836612858,14,6,"Other, TG","TG"
"M20",0.270500528785391,0.157167295691163,0.0961271810708737,0.705262487966263,15,4,"TG","TG"
"M18",0.270273798347582,0.130885545927815,0.0783090102368378,0.565589951519391,16,4,"PC","PC"
"M19",0.25129830204689,0.114209970628151,0.113374756561761,0.531325765480179,17,4,"AEG, PG, PS","AEG"
"M27",0.221426908189639,0.173098375065638,0.103677639331577,0.444888301662451,18,3,"Other, PE, PG","Other"
"M10",0.21915081979553,0.143855241927667,0.0926534499311931,0.534623980066712,19,7,"TG","TG"
"M11",0.21341017298012,0.0891804593119057,0.108377183762515,0.47750646365827,20,6,"Other, PC","Other"
"M17",0.209080600068601,0.101143551320567,0.0619618466363623,0.421612138698228,21,4,"Other","Other"
"M21",0.188698603084618,0.119878895708722,0.0585737344924767,0.56358298831459,22,4,"Other","Other"
"M16",0.182547267824445,0.0886742749397218,0.0479267221519211,0.401955009413475,23,4,"DG, LPC, LPE, PE","DG"
"M24",0.137139743793867,0.0686629179839443,0.0394616249598369,0.286829845917433,24,3,"PC","PC"
"M23",0.135425302168279,0.0747277629647252,0.0598904344949451,0.313344667273246,25,3,"LPC, MG, PC","LPC"
"M26",0.133811008083479,0.0803424157239534,0.0530818440366953,0.34762170780126,26,3,"MGDG, SQDG","SQDG"
"M25",0.0910064620267398,0.0459894796418425,0.0427281476730884,0.220488690039137,27,3,"SQDG","SQDG"
