"Lipid","Spearman_rho","P_value"
"TG(12:0/12:0/16:1)",0.679627326964928,6.79830166734671e-54
"TG(12:0/14:0/18:1)",0.638026825684429,9.78156338647491e-46
"TG(14:0/14:0/16:1)",0.638026825684429,9.78156338647491e-46
"TG(12:0/12:0/18:1)",0.633392346751256,6.6435722633403e-45
"TG(12:0/12:0/18:2)",0.613601538770676,1.66402587561206e-41
"TG(8:0/16:1/18:1)",0.613601538770676,1.66402587561206e-41
"TG(10:0/16:1/18:1)",0.594808155052372,1.71084998939007e-38
"TG(10:0/14:0/16:0)",0.563696119448904,6.3921325212077e-34
"TG(10:0/12:0/16:0)",0.55124670329125,3.18695974952119e-32
"TG(12:0/12:0/14:0)",0.55124670329125,3.18695974952119e-32
"TG(12:0/14:0/16:0)",0.548597519797521,7.17020535428654e-32
"TG(10:0/12:0/14:0)",0.545706222093064,1.72309071742867e-31
"TG(12:0/12:0/12:0)",0.536759295644043,2.46312691469657e-30
"TG(10:0/10:0/10:0)",0.530560473344216,1.48537805615329e-29
"TG(10:0/16:0/16:0)",0.487373132722457,1.53352856917916e-24
"PA(16:0/18:2)",0.482647231792021,4.92349732884224e-24
"TG(14:0/16:0/16:0)",0.440921718634365,6.9070615396707e-20
"TG(12:0/16:0/16:0)",0.430525291282669,6.12046917757067e-19
"TG(14:0/14:0/16:0)",0.430525291282669,6.12046917757067e-19
"TG(14:0/14:0/18:0)",0.41421221716652,1.6184156194861e-17
"TG(12:0/18:1/18:1)",0.265683726116209,1.0828012939465e-07
"TG(14:0/16:0/18:1)",0.110592573761233,0.0294002487565564
