"Lipid","Class","n_C","n_LI","median_CLR_C","median_CLR_LI","effect_CLR","effect_fc","direction","p_wilcox","p_adj_BH","significance","jackknife_stability"
"DG(18:1/2:0)","DG",394,363,0.0826,2.8864,2.8039,16.51,"LI > C","4.08e-125","1.98e-124","***",1
"SQDG(16:0/16:0)","SQDG",394,363,2.2444,-2.5365,-4.7809,0.01,"LI < C","4.08e-125","1.98e-124","***",1
"SQDG(16:0/18:1)","SQDG",394,363,-0.9145,1.8634,2.7779,16.09,"LI > C","4.08e-125","1.98e-124","***",1
"SQDG(16:0/18:2)","SQDG",394,363,0.1529,-1.859,-2.0119,0.13,"LI < C","4.08e-125","1.98e-124","***",1
"SQDG(16:0/18:3)","SQDG",394,363,3.3853,-0.1591,-3.5444,0.03,"LI < C","4.08e-125","1.98e-124","***",1
"SQDG(16:1/18:3)","SQDG",394,363,-1.5151,2.7586,4.2736,71.78,"LI > C","4.08e-125","1.98e-124","***",1
"SQDG(18:0/18:3)","SQDG",394,363,0.3157,-1.505,-1.8207,0.16,"LI < C","4.08e-125","1.98e-124","***",1
"SQDG(18:3/18:3)","SQDG",394,363,2.7758,0.151,-2.6248,0.07,"LI < C","4.08e-125","1.98e-124","***",1
"TG(14:0/18:1/18:3)","TG",394,363,-2.6962,-0.5561,2.1401,8.5,"LI > C","4.08e-125","1.98e-124","***",1
"TG(16:0/18:0/18:2)","TG",394,363,0.003,-3.0718,-3.0749,0.05,"LI < C","4.08e-125","1.98e-124","***",1
"TG(16:0/18:1/18:2)","TG",394,363,0.6047,-3.772,-4.3767,0.01,"LI < C","4.08e-125","1.98e-124","***",1
"TG(16:0/18:1/18:3)","TG",394,363,0.9935,-0.5205,-1.514,0.22,"LI < C","4.14e-125","1.98e-124","***",1
"TG(16:0/18:2/18:3)","TG",394,363,1.3245,-1.6657,-2.9903,0.05,"LI < C","4.08e-125","1.98e-124","***",1
"TG(16:0/18:3/18:3)","TG",394,363,0.9951,-2.9676,-3.9627,0.02,"LI < C","4.08e-125","1.98e-124","***",1
"TG(16:1/20:1/20:2)","TG",394,363,-2.9906,3.3208,6.3114,550.82,"LI > C","4.08e-125","1.98e-124","***",1
"TG(18:0/18:2/18:2)","TG",394,363,0.0405,-4.2984,-4.3389,0.01,"LI < C","4.08e-125","1.98e-124","***",1
