"Class","n_species","n_significant","n_stable_1.0","n_stable_0.95","mean_stability","min_stability"
"TG",49,48,49,49,1,1
"PC",31,30,31,31,1,1
"DG",13,13,13,13,1,1
"PE",12,12,12,12,1,1
"SQDG",10,10,10,10,1,1
"AEG",7,7,7,7,1,1
"DGDG",7,7,7,7,1,1
NA,6,6,6,6,1,1
"MG",5,5,5,5,1,1
"MGDG",5,5,5,5,1,1
"GalCer",2,2,2,2,1,1
"LPC",2,2,2,2,1,1
"PG",2,2,2,2,1,1
"Antheraxanthin",1,1,1,1,1,1
"Apocarotenal",1,1,1,1,1,1
"Cer",1,1,1,1,1,1
"Cycloartenol",1,1,1,1,1,1
"FA",1,1,1,1,1,1
"LPE",1,1,1,1,1,1
"Lutein",1,1,1,1,1,1
"Oxo",1,1,1,1,1,1
"PA",1,1,1,1,1,1
"PS",1,1,1,1,1,1
"Panaxcerol",1,1,1,1,1,1
"Phytosphingosine",1,1,1,1,1,1
"SM",1,1,1,1,1,1
"Ubidecarenone",1,1,1,1,1,1
"Ubiquinone",1,1,1,1,1,1
"Vitamin",1,1,1,1,1,1
"Zeaxanthin",1,1,1,1,1,1
"alpha",1,1,1,1,1,1
"beta",1,1,1,1,1,1
"gamma",1,1,1,1,1,1
"gibberellic",1,1,1,1,1,1
