"Condition","Rank","Lipid","Class","Variance"
"Control",1,"MGDG(18:3/18:3)","MGDG",7.18645754023726
"Control",2,"PC(16:0/18:2)","PC",2.62010333422383
"Control",3,"DG(18:3/18:3)","DG",0.8389980708298
"Control",4,"PC(16:0/18:1)","PC",0.813203301164064
"Control",5,"PC(16:0/18:0)","PC",0.33120328489112
"Control",6,"PC(16:0/18:3)","PC",0.278673332782869
"Control",7,"DGDG(18:2/18:4)","DGDG",0.273301697605129
"Control",8,"PC(18:1/16:0)","PC",0.210978463326721
"Control",9,"PC(16:0/20:5)","PC",0.199226499645656
"Control",10,"PC(16:0/20:4)","PC",0.147896479033864
"LowInput",1,"MGDG(18:3/18:3)","MGDG",2.37773618164618
"LowInput",2,"PC(16:0/18:2)","PC",1.34952567052801
"LowInput",3,"PC(16:0/18:0)","PC",0.6709017113054
"LowInput",4,"DG(18:3/18:3)","DG",0.339022844487245
"LowInput",5,"DGDG(18:2/18:4)","DGDG",0.214143723353137
"LowInput",6,"PC(16:1/18:2)","PC",0.207140952755415
"LowInput",7,"PC(16:0/18:3)","PC",0.172061365524471
"LowInput",8,"PC(16:0/20:5)","PC",0.141897120962924
"LowInput",9,"PC(16:1/20:4)","PC",0.124138007811942
"LowInput",10,"PC(18:0/18:1)","PC",0.0947997803962724
