"Class","Effect","CI_Low","CI_High","AbsEffect"
"DG",-0.150020827009663,-0.16524305036448,-0.134798037595973,0.150020827009663
"DGDG",-0.200027470991742,-0.212317603452343,-0.186109298305702,0.200027470991742
"LPC",0.264109961706918,0.23228752514973,0.297229580727586,0.264109961706918
"LPE",0.571618014808936,0.542593573629583,0.601554845744906,0.571618014808936
"MG",-0.422867492265213,-0.436993826834222,-0.409233760628579,0.422867492265213
"MGDG",-0.292563486577049,-0.309395619346519,-0.274619839600066,0.292563486577049
"PA",0.161364465821687,0.0802791032221784,0.234224915403812,0.161364465821687
"PC",-0.2550848711275,-0.280081962268929,-0.228859486098846,0.2550848711275
"PE",-0.0994667518395242,-0.120469491673995,-0.0771711765867226,0.0994667518395242
"PG",-0.0468606941547983,-0.0626829577178799,-0.0300293830228002,0.0468606941547983
"PS",0.981622157430208,0.930662382987049,1.02877600119312,0.981622157430208
"SQDG",-0.977254418879491,-0.995272795070058,-0.958675119636243,0.977254418879491
"TG",0.465431413077217,0.429984680387574,0.500430485987658,0.465431413077217
