"Feature","Effect","CI_Low","CI_High","Class","AbsEffect"
"DG",-0.615452240086883,-0.653130916472164,-0.581285103683464,"DG",0.615452240086883
"DGDG",-0.665458884068959,-0.700944439846832,-0.630005272164145,"DGDG",0.665458884068959
"LPC",-0.201321451370302,-0.25368427457623,-0.154054489138711,"LPC",0.201321451370302
"LPE",0.106186601731723,0.0576921182187917,0.156454134979322,"LPE",0.106186601731723
"MG",-0.888298905342432,-0.92524393432472,-0.853594780281304,"MG",0.888298905342432
"MGDG",-0.757994899654264,-0.795987872993537,-0.721515449950697,"MGDG",0.757994899654264
"PA",-0.304066947255529,-0.391358314681927,-0.223279070637291,"PA",0.304066947255529
"PC",-0.720516284204718,-0.764458502314933,-0.677788461243583,"PC",0.720516284204718
"PE",-0.564898164916742,-0.604270191599795,-0.527738341068441,"PE",0.564898164916742
"PG",-0.512292107232015,-0.551994586240224,-0.478591627102836,"PG",0.512292107232015
"PS",0.516190744352994,0.454007095361774,0.573468179493469,"PS",0.516190744352994
"SQDG",-1.44268583195671,-1.48445149988038,-1.4024851678621,"SQDG",1.44268583195671
