"Ratio","VIP"
"DGDG/SQDG",1.44396125353589
"DG/SQDG",1.43479189375238
"PG/SQDG",1.42624679241232
"SQDG/TG",1.41994571862541
"LPE/SQDG",1.41244996101785
"MGDG/SQDG",1.40353643428075
"PS/SQDG",1.39183916157876
"DG/MG",1.37666069959838
"LPC/SQDG",1.37193969049035
"MG/SQDG",1.36800087838749
"PE/SQDG",1.36426352790944
"MG/TG",1.32692094759813
"MG/PS",1.30955110604086
"LPE/MG",1.30621232549954
"MG/PG",1.27590026736423
"PC/PS",1.27079702736366
"DGDG/PS",1.25638477194852
"MGDG/TG",1.25605835638157
"DGDG/MG",1.25575221285075
"MGDG/PS",1.25571950901774
"DGDG/TG",1.2494935519747
"PC/SQDG",1.22750656118474
"DG/PS",1.21574254425123
"PE/PS",1.21219761824074
"LPE/MGDG",1.21032062664458
