GeneID	Chromosome	Gene_Start	Gene_End	Best_SNP	Best_SNP_Position	Best_P_Value	N_Phenotypes	Phenotypes	All_SNPs	N_SNPs	P_Values
SORBI_3006G248000	6	58752278	58756227	SNP_58780498	58780498	6.02E-13	18	TG(10:0_10:0_10:0); TG(10:0_16:1_18:1); TG(12:0_12:0_16:1); TG(12:0_12:0_18:1); TG(12:0_12:0_18:2); TG(12:0_14:0_18:3); TG(12:0_16:0_18:2); TG(12:0_18:1_18:1); TG(12:0_18:1_18:2); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:1); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2); TG(8:0_16:1_18:1)	SNP_58780498; SNP_58775803; SNP_58776720	3	1.4e-10; 8.7e-13; 6.0e-13; 2.0e-09; 3.4e-12; 9.0e-11; 9.5e-09; 3.3e-09; 3.1e-08; 4.9e-08; 7.8e-08; 4.4e-08; 1.8e-08; 6.9e-08; 7.6e-08; 3.4e-08; 8.3e-08; 3.4e-12
SORBI_3006G248100	6	58758117	58760732	SNP_58780498	58780498	6.02E-13	18	TG(10:0_10:0_10:0); TG(10:0_16:1_18:1); TG(12:0_12:0_16:1); TG(12:0_12:0_18:1); TG(12:0_12:0_18:2); TG(12:0_14:0_18:3); TG(12:0_16:0_18:2); TG(12:0_18:1_18:1); TG(12:0_18:1_18:2); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:1); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2); TG(8:0_16:1_18:1)	SNP_58780498; SNP_58775803; SNP_58776720	3	1.4e-10; 8.7e-13; 6.0e-13; 2.0e-09; 3.4e-12; 9.0e-11; 9.5e-09; 3.3e-09; 3.1e-08; 4.9e-08; 7.8e-08; 4.4e-08; 1.8e-08; 6.9e-08; 7.6e-08; 3.4e-08; 8.3e-08; 3.4e-12
SORBI_3006G248200	6	58761944	58762485	SNP_58780498	58780498	6.02E-13	18	TG(10:0_10:0_10:0); TG(10:0_16:1_18:1); TG(12:0_12:0_16:1); TG(12:0_12:0_18:1); TG(12:0_12:0_18:2); TG(12:0_14:0_18:3); TG(12:0_16:0_18:2); TG(12:0_18:1_18:1); TG(12:0_18:1_18:2); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:1); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2); TG(8:0_16:1_18:1)	SNP_58780498; SNP_58775803; SNP_58776720	3	1.4e-10; 8.7e-13; 6.0e-13; 2.0e-09; 3.4e-12; 9.0e-11; 9.5e-09; 3.3e-09; 3.1e-08; 4.9e-08; 7.8e-08; 4.4e-08; 1.8e-08; 6.9e-08; 7.6e-08; 3.4e-08; 8.3e-08; 3.4e-12
SORBI_3006G248300	6	58764200	58767760	SNP_58780498	58780498	6.02E-13	18	TG(10:0_10:0_10:0); TG(10:0_16:1_18:1); TG(12:0_12:0_16:1); TG(12:0_12:0_18:1); TG(12:0_12:0_18:2); TG(12:0_14:0_18:3); TG(12:0_16:0_18:2); TG(12:0_18:1_18:1); TG(12:0_18:1_18:2); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:1); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2); TG(8:0_16:1_18:1)	SNP_58780498; SNP_58775803; SNP_58776720	3	1.4e-10; 8.7e-13; 6.0e-13; 2.0e-09; 3.4e-12; 9.0e-11; 9.5e-09; 3.3e-09; 3.1e-08; 4.9e-08; 7.8e-08; 4.4e-08; 1.8e-08; 6.9e-08; 7.6e-08; 3.4e-08; 8.3e-08; 3.4e-12
SORBI_3006G248350	6	58769277	58774798	SNP_58780498	58780498	6.02E-13	18	TG(10:0_10:0_10:0); TG(10:0_16:1_18:1); TG(12:0_12:0_16:1); TG(12:0_12:0_18:1); TG(12:0_12:0_18:2); TG(12:0_14:0_18:3); TG(12:0_16:0_18:2); TG(12:0_18:1_18:1); TG(12:0_18:1_18:2); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:1); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2); TG(8:0_16:1_18:1)	SNP_58780498; SNP_58775803; SNP_58776720	3	1.4e-10; 8.7e-13; 6.0e-13; 2.0e-09; 3.4e-12; 9.0e-11; 9.5e-09; 3.3e-09; 3.1e-08; 4.9e-08; 7.8e-08; 4.4e-08; 1.8e-08; 6.9e-08; 7.6e-08; 3.4e-08; 8.3e-08; 3.4e-12
SORBI_3006G248400	6	58780954	58786603	SNP_58780498	58780498	6.02E-13	18	TG(10:0_10:0_10:0); TG(10:0_16:1_18:1); TG(12:0_12:0_16:1); TG(12:0_12:0_18:1); TG(12:0_12:0_18:2); TG(12:0_14:0_18:3); TG(12:0_16:0_18:2); TG(12:0_18:1_18:1); TG(12:0_18:1_18:2); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:1); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2); TG(8:0_16:1_18:1)	SNP_58780498; SNP_58775803; SNP_58776720	3	1.4e-10; 8.7e-13; 6.0e-13; 2.0e-09; 3.4e-12; 9.0e-11; 9.5e-09; 3.3e-09; 3.1e-08; 4.9e-08; 7.8e-08; 4.4e-08; 1.8e-08; 6.9e-08; 7.6e-08; 3.4e-08; 8.3e-08; 3.4e-12
SORBI_3006G248450	6	58788331	58789520	SNP_58780498	58780498	6.02E-13	18	TG(10:0_10:0_10:0); TG(10:0_16:1_18:1); TG(12:0_12:0_16:1); TG(12:0_12:0_18:1); TG(12:0_12:0_18:2); TG(12:0_14:0_18:3); TG(12:0_16:0_18:2); TG(12:0_18:1_18:1); TG(12:0_18:1_18:2); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:1); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2); TG(8:0_16:1_18:1)	SNP_58780498; SNP_58775803; SNP_58776720	3	1.4e-10; 8.7e-13; 6.0e-13; 2.0e-09; 3.4e-12; 9.0e-11; 9.5e-09; 3.3e-09; 3.1e-08; 4.9e-08; 7.8e-08; 4.4e-08; 1.8e-08; 6.9e-08; 7.6e-08; 3.4e-08; 8.3e-08; 3.4e-12
SORBI_3006G248500	6	58788728	58791079	SNP_58780498	58780498	6.02E-13	18	TG(10:0_10:0_10:0); TG(10:0_16:1_18:1); TG(12:0_12:0_16:1); TG(12:0_12:0_18:1); TG(12:0_12:0_18:2); TG(12:0_14:0_18:3); TG(12:0_16:0_18:2); TG(12:0_18:1_18:1); TG(12:0_18:1_18:2); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:1); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2); TG(8:0_16:1_18:1)	SNP_58780498; SNP_58775803; SNP_58776720	3	1.4e-10; 8.7e-13; 6.0e-13; 2.0e-09; 3.4e-12; 9.0e-11; 9.5e-09; 3.3e-09; 3.1e-08; 4.9e-08; 7.8e-08; 4.4e-08; 1.8e-08; 6.9e-08; 7.6e-08; 3.4e-08; 8.3e-08; 3.4e-12
SORBI_3006G248600	6	58793125	58800314	SNP_58780498	58780498	6.02E-13	18	TG(10:0_10:0_10:0); TG(10:0_16:1_18:1); TG(12:0_12:0_16:1); TG(12:0_12:0_18:1); TG(12:0_12:0_18:2); TG(12:0_14:0_18:3); TG(12:0_16:0_18:2); TG(12:0_18:1_18:1); TG(12:0_18:1_18:2); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:1); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2); TG(8:0_16:1_18:1)	SNP_58780498; SNP_58775803; SNP_58776720	3	1.4e-10; 8.7e-13; 6.0e-13; 2.0e-09; 3.4e-12; 9.0e-11; 9.5e-09; 3.3e-09; 3.1e-08; 4.9e-08; 7.8e-08; 4.4e-08; 1.8e-08; 6.9e-08; 7.6e-08; 3.4e-08; 8.3e-08; 3.4e-12
SORBI_3006G248700	6	58801617	58807226	SNP_58780498	58780498	6.02E-13	18	TG(10:0_10:0_10:0); TG(10:0_16:1_18:1); TG(12:0_12:0_16:1); TG(12:0_12:0_18:1); TG(12:0_12:0_18:2); TG(12:0_14:0_18:3); TG(12:0_16:0_18:2); TG(12:0_18:1_18:1); TG(12:0_18:1_18:2); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:1); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2); TG(18:1_18:2_18:2); TG(8:0_16:1_18:1)	SNP_58780498; SNP_58776720	2	1.4e-10; 8.7e-13; 6.0e-13; 2.0e-09; 3.4e-12; 9.0e-11; 9.5e-09; 3.3e-09; 3.1e-08; 4.9e-08; 7.8e-08; 4.4e-08; 1.8e-08; 6.9e-08; 7.6e-08; 3.4e-08; 8.3e-08; 3.4e-12
SORBI_3005G148950	5	61707212	61708971	SNP_61715312	61715312	1.55E-16	15	TG(16:0_16:0_18:1); TG(16:0_16:0_18:2); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:0); TG(16:0_18:1_20:1); TG(16:0_18:1_20:2); TG(16:0_18:1_22:1); TG(16:1_18:1_18:1); TG(18:0_18:0_20:1); TG(18:0_18:2_18:2); TG(18:0_18:2_20:1); TG(18:1_18:2_18:2)	SNP_61715312	1	1.6e-16; 6.1e-11; 4.7e-13; 1.2e-14; 1.3e-11; 1.8e-15; 1.0e-11; 2.3e-13; 9.7e-13; 4.4e-12; 8.9e-15; 9.7e-09; 1.3e-12; 1.1e-08; 8.9e-11
