GeneID	Chromosome	Gene_Start	Gene_End	Best_SNP	Best_SNP_Position	Best_P_Value	N_Phenotypes	Phenotypes	All_SNPs	N_SNPs	P_Values
SORBI_3001G384200	1	67162638	67168151	SNP_67138483	67138483	2.00E-12	11	PC(16:0_20:3); PC(16:0_22:5); PC(16:0_22:6); PC(18:0_18:3); PC(18:0_20:4); PC(18:1_20:1); PC(18:1_24:1); PC(18:2_20:0); PC(18:3_0:0); PE(16:0_18:1); Ubidecarenone	SNP_67180575; SNP_67181243; SNP_67181250; SNP_67181286; SNP_67181294; SNP_67181298; SNP_67181383; SNP_67181415; SNP_67181424; SNP_67181489; SNP_67181498; SNP_67181504; SNP_67181506; SNP_67181655; SNP_67181993; SNP_67182000; SNP_67182010; SNP_67182021; SNP_67182138; SNP_67182272; SNP_67182298; SNP_67182579; SNP_67183097; SNP_67183429; SNP_67183549; SNP_67183732; SNP_67183749; SNP_67183958; SNP_67183991; SNP_67183999; SNP_67184283; SNP_67184296; SNP_67184301; SNP_67184303; SNP_67184383; SNP_67184926; SNP_67185318; SNP_67185364; SNP_67185375; SNP_67185383; SNP_67185388; SNP_67185433; SNP_67185441; SNP_67185446; SNP_67185475; SNP_67185523; SNP_67185583; SNP_67185630; SNP_67185634; SNP_67185696; SNP_67185710; SNP_67185743; SNP_67185790; SNP_67185839; SNP_67186659; SNP_67186760; SNP_67186786; SNP_67187124; SNP_67187137; SNP_67187164; SNP_67187166; SNP_67187185; SNP_67187382; SNP_67187782; SNP_67188307; SNP_67188333; SNP_67188368; SNP_67188434; SNP_67188447; SNP_67189404; SNP_67138483; SNP_67187552; SNP_67181391; SNP_67149743; SNP_67149783; SNP_67149955; SNP_67151037; SNP_67156982; SNP_67158119; SNP_67158347; SNP_67158544; SNP_67158801; SNP_67159429; SNP_67165032; SNP_67168532; SNP_67168810; SNP_67169197; SNP_67171548; SNP_67172136; SNP_67172766; SNP_67173259; SNP_67187084; SNP_67189316; SNP_67192512; SNP_67180620; SNP_67181280; SNP_67181281; SNP_67181282; SNP_67181344; SNP_67181346; SNP_67181363; SNP_67181385; SNP_67181438; SNP_67181448; SNP_67181459; SNP_67181526; SNP_67181530; SNP_67181611; SNP_67181662; SNP_67182189; SNP_67182775; SNP_67182848; SNP_67183121; SNP_67183405; SNP_67183442; SNP_67183562; SNP_67184005; SNP_67184130; SNP_67184131; SNP_67184244; SNP_67184439; SNP_67184522; SNP_67184549; SNP_67184812; SNP_67184844; SNP_67184912; SNP_67184934; SNP_67184957; SNP_67185098; SNP_67185210; SNP_67185221; SNP_67185228; SNP_67185757; SNP_67185795; SNP_67186325; SNP_67186868; SNP_67187012; SNP_67187048; SNP_67187237; SNP_67187428; SNP_67187577; SNP_67187636; SNP_67187858; SNP_67187874; SNP_67187933; SNP_67187948; SNP_67188318; SNP_67188506; SNP_67188570; SNP_67188844; SNP_67189182; SNP_67189285; SNP_67189297; SNP_67189354; SNP_67189621	155	2.0e-08; 1.3e-10; 8.2e-08; 3.4e-08; 5.2e-09; 1.4e-08; 2.0e-12; 3.3e-08; 3.5e-08; 4.7e-09; 3.2e-11
SORBI_3001G311833	1	59861736	59863679	SNP_59868816	59868816	5.25E-10	11	AEG(o-16:2_18:2); DG(18:0_18:2_0:0); PC(14:0_18:0); PC(14:0_18:2); PC(16:0_16:0); PC(16:0_22:6); PC(18:3_0:0); PE(16:0_18:2); PE(16:0_18:3); PE(18:0_18:3); PE(18:1_18:1)	SNP_59868816; SNP_59856369; SNP_59887350; SNP_59843709; SNP_59845337; SNP_59845596; SNP_59846425; SNP_59846841; SNP_59847430; SNP_59847874; SNP_59848128; SNP_59849052; SNP_59864720; SNP_59880894	14	8.1e-08; 5.3e-09; 1.3e-09; 1.1e-09; 2.3e-08; 1.4e-08; 9.3e-09; 5.4e-08; 4.9e-08; 5.3e-10; 3.8e-08
SORBI_3001G311866	1	59866325	59869067	SNP_59868816	59868816	5.25E-10	11	AEG(o-16:2_18:2); DG(18:0_18:2_0:0); PC(14:0_18:0); PC(14:0_18:2); PC(16:0_16:0); PC(16:0_22:6); PC(18:3_0:0); PE(16:0_18:2); PE(16:0_18:3); PE(18:0_18:3); PE(18:1_18:1)	SNP_59868816; SNP_59856369; SNP_59887350; SNP_59891863; SNP_59892708; SNP_59843709; SNP_59845337; SNP_59845596; SNP_59846425; SNP_59846841; SNP_59847430; SNP_59847874; SNP_59848128; SNP_59849052; SNP_59890105; SNP_59864720; SNP_59880894	17	8.1e-08; 5.3e-09; 1.3e-09; 1.1e-09; 2.3e-08; 1.4e-08; 9.3e-09; 5.4e-08; 4.9e-08; 5.3e-10; 3.8e-08
SORBI_3010G170150	10	50163162	50165306	SNP_50165496	50165496	5.49E-11	10	TG(16:1_20:1_20:2); TG(18:0_18:1_22:0); TG(18:0_18:2_18:3); TG(18:0_18:2_20:1); TG(18:1_18:1_20:3); TG(18:1_18:2_18:3); TG(18:1_18:2_22:0); TG(18:2_18:2_18:4); TG(18:2_20:3_22:0); TG(18:3_18:3_18:3)	SNP_50153355; SNP_50165496; SNP_50166599; SNP_50179186; SNP_50181647; SNP_50182599; SNP_50184674; SNP_50185244; SNP_50185979; SNP_50186802; SNP_50187793; SNP_50187911; SNP_50187947	13	6.0e-08; 4.1e-08; 4.5e-09; 7.6e-09; 4.0e-09; 7.6e-09; 1.8e-08; 2.3e-08; 5.5e-11; 2.3e-08
SORBI_3010G170300	10	50166260	50169740	SNP_50165496	50165496	5.49E-11	10	TG(16:1_20:1_20:2); TG(18:0_18:1_22:0); TG(18:0_18:2_18:3); TG(18:0_18:2_20:1); TG(18:1_18:1_20:3); TG(18:1_18:2_18:3); TG(18:1_18:2_22:0); TG(18:2_18:2_18:4); TG(18:2_20:3_22:0); TG(18:3_18:3_18:3)	SNP_50153355; SNP_50165496; SNP_50166599; SNP_50179186; SNP_50181647; SNP_50182599; SNP_50184674; SNP_50185244; SNP_50185979; SNP_50186802; SNP_50187793; SNP_50187911; SNP_50187947	13	6.0e-08; 4.1e-08; 4.5e-09; 7.6e-09; 4.0e-09; 7.6e-09; 1.8e-08; 2.3e-08; 5.5e-11; 2.3e-08
SORBI_3010G170400	10	50177361	50180730	SNP_50165496	50165496	5.49E-11	10	TG(16:1_20:1_20:2); TG(18:0_18:1_22:0); TG(18:0_18:2_18:3); TG(18:0_18:2_20:1); TG(18:1_18:1_20:3); TG(18:1_18:2_18:3); TG(18:1_18:2_22:0); TG(18:2_18:2_18:4); TG(18:2_20:3_22:0); TG(18:3_18:3_18:3)	SNP_50153355; SNP_50165496; SNP_50166599; SNP_50179186; SNP_50181647; SNP_50182599; SNP_50184674; SNP_50185244; SNP_50185979; SNP_50186802; SNP_50187793; SNP_50187911; SNP_50187947; SNP_50199500; SNP_50199507; SNP_50202262	16	6.0e-08; 4.1e-08; 4.5e-09; 7.6e-09; 4.0e-09; 7.6e-09; 1.8e-08; 2.3e-08; 5.5e-11; 2.3e-08
SORBI_3005G141000	5	59801136	59805960	SNP_59815319	59815319	2.84E-09	10	TG(16:0_18:2_22:0); TG(16:1_20:1_20:2); TG(18:0_18:2_18:3); TG(18:0_18:2_20:1); TG(18:1_18:1_18:1); TG(18:1_18:1_20:3); TG(18:1_18:2_18:3); TG(18:1_18:2_22:0); TG(18:2_18:2_22:1); TG(18:2_18:3_20:1)	SNP_59814393; SNP_59814886; SNP_59826230; SNP_59826273; SNP_59804813; SNP_59815319; SNP_59818254	7	1.4e-08; 5.3e-09; 1.4e-08; 2.8e-09; 2.4e-08; 4.6e-09; 2.8e-09; 2.4e-08; 2.9e-09; 6.2e-08
SORBI_3001G384300	1	67174725	67180566	SNP_67183097	67183097	6.59E-11	9	PC(16:0_20:3); PC(16:0_22:5); PC(16:0_22:6); PC(18:1_20:1); PC(18:1_24:1); PC(18:2_20:0); PC(18:3_0:0); PE(16:0_18:1); Ubidecarenone	SNP_67180575; SNP_67181243; SNP_67181250; SNP_67181286; SNP_67181294; SNP_67181298; SNP_67181383; SNP_67181415; SNP_67181424; SNP_67181489; SNP_67181498; SNP_67181504; SNP_67181506; SNP_67181655; SNP_67181993; SNP_67182000; SNP_67182010; SNP_67182021; SNP_67182138; SNP_67182272; SNP_67182298; SNP_67182579; SNP_67183097; SNP_67183429; SNP_67183549; SNP_67183732; SNP_67183749; SNP_67183958; SNP_67183991; SNP_67183999; SNP_67184283; SNP_67184296; SNP_67184301; SNP_67184303; SNP_67184383; SNP_67184926; SNP_67185318; SNP_67185364; SNP_67185375; SNP_67185383; SNP_67185388; SNP_67185433; SNP_67185441; SNP_67185446; SNP_67185475; SNP_67185523; SNP_67185583; SNP_67185630; SNP_67185634; SNP_67185696; SNP_67185710; SNP_67185743; SNP_67185790; SNP_67185839; SNP_67186659; SNP_67186760; SNP_67186786; SNP_67187124; SNP_67187137; SNP_67187164; SNP_67187166; SNP_67187185; SNP_67187382; SNP_67187782; SNP_67188307; SNP_67188333; SNP_67188368; SNP_67188434; SNP_67188447; SNP_67189404; SNP_67187552; SNP_67181391; SNP_67197730; SNP_67199725; SNP_67149743; SNP_67149783; SNP_67149955; SNP_67151037; SNP_67156982; SNP_67158119; SNP_67158347; SNP_67158544; SNP_67158801; SNP_67159429; SNP_67165032; SNP_67168532; SNP_67168810; SNP_67169197; SNP_67171548; SNP_67172136; SNP_67172766; SNP_67173259; SNP_67187084; SNP_67189316; SNP_67192512; SNP_67195363; SNP_67180620; SNP_67181280; SNP_67181281; SNP_67181282; SNP_67181344; SNP_67181346; SNP_67181363; SNP_67181385; SNP_67181438; SNP_67181448; SNP_67181459; SNP_67181526; SNP_67181530; SNP_67181611; SNP_67181662; SNP_67182189; SNP_67182775; SNP_67182848; SNP_67183121; SNP_67183405; SNP_67183442; SNP_67183562; SNP_67184005; SNP_67184130; SNP_67184131; SNP_67184244; SNP_67184439; SNP_67184522; SNP_67184549; SNP_67184812; SNP_67184844; SNP_67184912; SNP_67184934; SNP_67184957; SNP_67185098; SNP_67185210; SNP_67185221; SNP_67185228; SNP_67185757; SNP_67185795; SNP_67186325; SNP_67186868; SNP_67187012; SNP_67187048; SNP_67187237; SNP_67187428; SNP_67187577; SNP_67187636; SNP_67187858; SNP_67187874; SNP_67187933; SNP_67187948; SNP_67188318; SNP_67188506; SNP_67188570; SNP_67188844; SNP_67189182; SNP_67189285; SNP_67189297; SNP_67189354; SNP_67189621	157	2.0e-08; 5.7e-09; 7.8e-08; 6.4e-08; 6.6e-11; 3.3e-08; 3.2e-08; 4.7e-09; 7.2e-10
SORBI_3001G384400	1	67185876	67188987	SNP_67183097	67183097	6.59E-11	9	PC(16:0_20:3); PC(16:0_22:5); PC(16:0_22:6); PC(18:1_20:1); PC(18:1_24:1); PC(18:2_20:0); PC(18:3_0:0); PE(16:0_18:1); Ubidecarenone	SNP_67180575; SNP_67181243; SNP_67181250; SNP_67181286; SNP_67181294; SNP_67181298; SNP_67181383; SNP_67181415; SNP_67181424; SNP_67181489; SNP_67181498; SNP_67181504; SNP_67181506; SNP_67181655; SNP_67181993; SNP_67182000; SNP_67182010; SNP_67182021; SNP_67182138; SNP_67182272; SNP_67182298; SNP_67182579; SNP_67183097; SNP_67183429; SNP_67183549; SNP_67183732; SNP_67183749; SNP_67183958; SNP_67183991; SNP_67183999; SNP_67184283; SNP_67184296; SNP_67184301; SNP_67184303; SNP_67184383; SNP_67184926; SNP_67185318; SNP_67185364; SNP_67185375; SNP_67185383; SNP_67185388; SNP_67185433; SNP_67185441; SNP_67185446; SNP_67185475; SNP_67185523; SNP_67185583; SNP_67185630; SNP_67185634; SNP_67185696; SNP_67185710; SNP_67185743; SNP_67185790; SNP_67185839; SNP_67186659; SNP_67186760; SNP_67186786; SNP_67187124; SNP_67187137; SNP_67187164; SNP_67187166; SNP_67187185; SNP_67187382; SNP_67187782; SNP_67188307; SNP_67188333; SNP_67188368; SNP_67188434; SNP_67188447; SNP_67189404; SNP_67187552; SNP_67181391; SNP_67197730; SNP_67199725; SNP_67165032; SNP_67168532; SNP_67168810; SNP_67169197; SNP_67171548; SNP_67172136; SNP_67172766; SNP_67173259; SNP_67187084; SNP_67189316; SNP_67192512; SNP_67195363; SNP_67180620; SNP_67181280; SNP_67181281; SNP_67181282; SNP_67181344; SNP_67181346; SNP_67181363; SNP_67181385; SNP_67181438; SNP_67181448; SNP_67181459; SNP_67181526; SNP_67181530; SNP_67181611; SNP_67181662; SNP_67182189; SNP_67182775; SNP_67182848; SNP_67183121; SNP_67183405; SNP_67183442; SNP_67183562; SNP_67184005; SNP_67184130; SNP_67184131; SNP_67184244; SNP_67184439; SNP_67184522; SNP_67184549; SNP_67184812; SNP_67184844; SNP_67184912; SNP_67184934; SNP_67184957; SNP_67185098; SNP_67185210; SNP_67185221; SNP_67185228; SNP_67185757; SNP_67185795; SNP_67186325; SNP_67186868; SNP_67187012; SNP_67187048; SNP_67187237; SNP_67187428; SNP_67187577; SNP_67187636; SNP_67187858; SNP_67187874; SNP_67187933; SNP_67187948; SNP_67188318; SNP_67188506; SNP_67188570; SNP_67188844; SNP_67189182; SNP_67189285; SNP_67189297; SNP_67189354; SNP_67189621	147	2.0e-08; 5.7e-09; 7.8e-08; 6.4e-08; 6.6e-11; 3.3e-08; 3.2e-08; 4.7e-09; 7.2e-10
SORBI_3001G384500	1	67188882	67194903	SNP_67183097	67183097	6.59E-11	9	PC(16:0_20:3); PC(16:0_22:5); PC(16:0_22:6); PC(18:1_20:1); PC(18:1_24:1); PC(18:2_20:0); PC(18:3_0:0); PE(16:0_18:1); Ubidecarenone	SNP_67180575; SNP_67181243; SNP_67181250; SNP_67181286; SNP_67181294; SNP_67181298; SNP_67181383; SNP_67181415; SNP_67181424; SNP_67181489; SNP_67181498; SNP_67181504; SNP_67181506; SNP_67181655; SNP_67181993; SNP_67182000; SNP_67182010; SNP_67182021; SNP_67182138; SNP_67182272; SNP_67182298; SNP_67182579; SNP_67183097; SNP_67183429; SNP_67183549; SNP_67183732; SNP_67183749; SNP_67183958; SNP_67183991; SNP_67183999; SNP_67184283; SNP_67184296; SNP_67184301; SNP_67184303; SNP_67184383; SNP_67184926; SNP_67185318; SNP_67185364; SNP_67185375; SNP_67185383; SNP_67185388; SNP_67185433; SNP_67185441; SNP_67185446; SNP_67185475; SNP_67185523; SNP_67185583; SNP_67185630; SNP_67185634; SNP_67185696; SNP_67185710; SNP_67185743; SNP_67185790; SNP_67185839; SNP_67186659; SNP_67186760; SNP_67186786; SNP_67187124; SNP_67187137; SNP_67187164; SNP_67187166; SNP_67187185; SNP_67187382; SNP_67187782; SNP_67188307; SNP_67188333; SNP_67188368; SNP_67188434; SNP_67188447; SNP_67189404; SNP_67187552; SNP_67181391; SNP_67197730; SNP_67199725; SNP_67165032; SNP_67168532; SNP_67168810; SNP_67169197; SNP_67171548; SNP_67172136; SNP_67172766; SNP_67173259; SNP_67187084; SNP_67189316; SNP_67192512; SNP_67195363; SNP_67180620; SNP_67181280; SNP_67181281; SNP_67181282; SNP_67181344; SNP_67181346; SNP_67181363; SNP_67181385; SNP_67181438; SNP_67181448; SNP_67181459; SNP_67181526; SNP_67181530; SNP_67181611; SNP_67181662; SNP_67182189; SNP_67182775; SNP_67182848; SNP_67183121; SNP_67183405; SNP_67183442; SNP_67183562; SNP_67184005; SNP_67184130; SNP_67184131; SNP_67184244; SNP_67184439; SNP_67184522; SNP_67184549; SNP_67184812; SNP_67184844; SNP_67184912; SNP_67184934; SNP_67184957; SNP_67185098; SNP_67185210; SNP_67185221; SNP_67185228; SNP_67185757; SNP_67185795; SNP_67186325; SNP_67186868; SNP_67187012; SNP_67187048; SNP_67187237; SNP_67187428; SNP_67187577; SNP_67187636; SNP_67187858; SNP_67187874; SNP_67187933; SNP_67187948; SNP_67188318; SNP_67188506; SNP_67188570; SNP_67188844; SNP_67189182; SNP_67189285; SNP_67189297; SNP_67189354; SNP_67189621	147	2.0e-08; 5.7e-09; 7.8e-08; 6.4e-08; 6.6e-11; 3.3e-08; 3.2e-08; 4.7e-09; 7.2e-10
