"GeneID"	"GeneName"	"Family_Subfamily"	"ProteinClass"	"GO_MF"	"GO_BP"	"GO_CC"
"SORBI_3002G066200"	"DUF295 domain-containing protein"	"DUF295 DOMAIN-CONTAINING PROTEIN (PTHR33165:SF30)"	NA	NA	NA	NA
"SORBI_3005G188600"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3007G110900"	"Uncharacterized protein"	"OS08G0346600 PROTEIN (PTHR34116:SF9)"	NA	NA	NA	"membrane(GO:0016020)"
"SORBI_3010G140550"	"CCHC-type domain-containing protein"	"OS11G0296500 PROTEIN (PTHR23002:SF89)"	"RNA metabolism protein(PC00031)"	"nucleic acid binding(GO:0003676);single-stranded RNA binding(GO:0003727);mRNA binding(GO:0003729);zinc ion binding(GO:0008270);translation regulator activity(GO:0045182)"	"positive regulation of cytoplasmic translation(GO:2000767)"	"cytoplasm(GO:0005737)"
"SORBI_3002G195066"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3005G087600"	"AP2_ERF domain-containing protein"	"AP2 DOMAIN CONTAINING PROTEIN, EXPRESSED (PTHR31985:SF224)"	"DNA-binding transcription factor(PC00218)"	"DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)"	"regulation of DNA-templated transcription(GO:0006355)"	"nucleus(GO:0005634)"
"SORBI_3003G391000"	"Fungal lipase-like domain-containing protein"	"PHOSPHOLIPASE A1 EG1, CHLOROPLASTIC_MITOCHONDRIAL (PTHR31403:SF58)"	"phospholipase(PC00186)"	"phospholipase activity(GO:0004620);phospholipase A1 activity(GO:0008970)"	"lipid metabolic process(GO:0006629);lipid catabolic process(GO:0016042)"	"chloroplast(GO:0009507)"
"SORBI_3001G398300"	"Calmodulin-binding protein"	"EXPRESSED PROTEIN (PTHR33095:SF57)"	NA	NA	NA	NA
"SORBI_3003G344700"	"Ammonium transporter"	"AMMONIUM TRANSPORTER 2 (PTHR43029:SF38)"	"transporter(PC00227)"	"ammonium channel activity(GO:0008519)"	"ammonium transmembrane transport(GO:0072488)"	"plasma membrane(GO:0005886);membrane(GO:0016020)"
"SORBI_3007G101600"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3003G250000"	"Peroxidase"	"PEROXIDASE 19 (PTHR31235:SF56)"	"peroxidase(PC00180)"	"peroxidase activity(GO:0004601);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)"	"response to stress(GO:0006950);response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)"	"extracellular region(GO:0005576);plant-type cell wall(GO:0009505)"
"SORBI_3002G065800"	"Cytochrome P450"	"CYTOCHROME P450 (PTHR47956:SF65)"	"oxygenase(PC00177)"	"monooxygenase activity(GO:0004497);iron ion binding(GO:0005506);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);heme binding(GO:0020037);metal ion binding(GO:0046872)"	NA	"membrane(GO:0016020)"
